SKU,cates,img_url,name,price,tag
 WM2086 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Hidan-WM2086-Minifigures-600x600.jpg,Anime Naruto Shippuden Hidan WM2086 Minifigures,1.1,Hidan
 WM2087 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Kakuzu-WM2087-Minifigures-600x600.jpg,Anime Naruto Shippuden Kakuzu WM2087 Minifigures,1.1,Kakuzu
 WM2088 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Pain-Preta-Path-WM2088-Minifigures-600x600.jpg,Anime Naruto Shippuden Pain (Preta Path) WM2088 Minifigures,1.1,Pain
 WM2118 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Rock-Lee-WM2118-Minifigures-600x600.jpg,Anime Naruto Shippuden Rock Lee WM2118 Minifigures,1.0,Rock Lee
 WM2115 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Minato-Namikaze-WM2115-Minifigures-600x600.jpg,Anime Naruto Shippuden Minato Namikaze WM2115 Minifigures,1.3,Minato Namikaze
 WM2116 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Sasuke-Uchiha-WM2116-Minifigures-600x600.jpg,Anime Naruto Shippuden Sasuke Uchiha WM2116 Minifigures,1.3,Sasuke Uchiha
 WM2119 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Uchiha-Madara-WM2119-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Madara WM2119 Minifigures,1.3,Uchiha Madara
 WM2122 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Might-Guy-WM2122-Minifigures-600x600.jpg,Anime Naruto Shippuden Might Guy WM2122 Minifigures,1.5,Might Guy
 K2039 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-K2039-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki K2039 Minifigures,1.1,Naruto Uzumaki
 K2040 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/09/Anime-Naruto-Shippuden-Naruto-Uzumaki-K2040-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki K2040 Minifigures,1.1,Naruto Uzumaki
 WM2084 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Hatake-Kakashi-WM2084-Minifigures-600x600.jpg,Anime Naruto Shippuden Hatake Kakashi WM2084 Minifigures,1.1,Hatake Kakashi
 WM2081 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Uchiha-Obito-WM2081-Minifigures-600x600.jpg,Anime Naruto Shippuden Uchiha Obito WM2081 Minifigures,1.1,Uchiha Obito
 WM2083 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Sasuke-Uchiha-WM2083-Minifigures-600x600.jpg,Anime Naruto Shippuden Sasuke Uchiha WM2083 Minifigures,1.1,Sasuke Uchiha
 WM2082 ,"Anime,Anime & Cartoon Minifigures,Minifigures Collection,Naruto Shippuden",https://brixtoy.com/wp-content/uploads/2023/08/Naruto-Shippuden-Naruto-Uzumaki-WM2082-Minifigures-600x600.jpg,Anime Naruto Shippuden Naruto Uzumaki WM2082 Minifigures,1.1,Naruto Uzumaki
